player_id,season,week,season_type,passing_epa,completions,attempts,passing_yards,passing_tds,interceptions
00-0023459,2023,1,REG,-2.0319598,0,1,0.0,0,0.0
00-0024243,2023,4,REG,,0,0,0.0,0,0.0
00-0024243,2023,7,REG,,0,0,0.0,0,0.0
00-0024243,2023,11,REG,,0,0,0.0,0,0.0
00-0024243,2023,14,REG,,0,0,0.0,0,0.0
00-0024243,2023,16,REG,,0,0,0.0,0,0.0
00-0026158,2023,13,REG,-7.791564,23,44,254.0,2,1.0
00-0026158,2023,14,REG,-1.6544218,26,45,311.0,3,1.0
00-0026158,2023,15,REG,-17.392164,28,44,374.0,2,3.0
00-0026158,2023,16,REG,19.032988,27,42,368.0,3,2.0
00-0026158,2023,17,REG,6.197574,19,29,309.0,3,1.0
00-0026498,2023,1,REG,20.679981,24,38,334.0,0,0.0
00-0026498,2023,2,REG,-5.089193,34,55,307.0,1,2.0
00-0026498,2023,3,REG,-8.40479,18,33,269.0,1,2.0
00-0026498,2023,4,REG,11.3743515,27,40,319.0,1,1.0
00-0026498,2023,5,REG,-2.536261,21,37,222.0,2,0.0
00-0026498,2023,6,REG,3.2710502,15,24,226.0,1,0.0
00-0026498,2023,7,REG,-3.5908406,14,29,231.0,1,1.0
00-0026498,2023,8,REG,-4.978714,13,22,162.0,1,1.0
00-0026498,2023,11,REG,-4.574815,17,31,190.0,1,1.0
00-0026498,2023,12,REG,13.204231,25,33,229.0,4,1.0
00-0026498,2023,13,REG,5.3191237,22,37,279.0,3,0.0
00-0026498,2023,14,REG,6.5487304,23,41,294.0,3,0.0
00-0026498,2023,15,REG,7.8747363,25,33,258.0,2,0.0
00-0026498,2023,16,REG,15.034519,24,34,328.0,2,0.0
00-0026498,2023,17,REG,0.89999664,24,34,317.0,1,2.0
00-0026625,2023,6,REG,4.7522593,6,10,102.0,0,0.0
00-0026625,2023,7,REG,-13.533031,17,32,129.0,0,2.0
00-0027114,2023,11,REG,2.6709,1,1,18.0,0,0.0
00-0027696,2023,3,REG,,0,0,0.0,0,0.0
00-0027696,2023,5,REG,,0,0,0.0,0,0.0
00-0027696,2023,13,REG,,0,0,0.0,0,0.0
00-0027696,2023,14,REG,,0,0,0.0,0,0.0
00-0027696,2023,15,REG,,0,0,0.0,0,0.0
00-0027944,2023,7,REG,,0,0,0.0,0,0.0
00-0027944,2023,8,REG,,0,0,0.0,0,0.0
00-0027944,2023,11,REG,,0,0,0.0,0,0.0
00-0027944,2023,12,REG,,0,0,0.0,0,0.0
00-0027944,2023,15,REG,,0,0,0.0,0,0.0
00-0027944,2023,16,REG,,0,0,0.0,0,0.0
00-0027944,2023,17,REG,,0,0,0.0,0,0.0
00-0027944,2023,18,REG,,0,0,0.0,0,0.0
00-0027948,2023,3,REG,-6.7060456,3,5,31.0,0,2.0
00-0027948,2023,18,REG,-9.437242,15,30,154.0,0,1.0
00-0027973,2023,3,REG,4.5483294,34,58,361.0,2,0.0
00-0027973,2023,5,REG,,0,0,0.0,0,0.0
00-0028002,2023,1,REG,,0,0,0.0,0,0.0
00-0028002,2023,2,REG,,0,0,0.0,0,0.0
00-0028002,2023,3,REG,,0,0,0.0,0,0.0
00-0028002,2023,4,REG,,0,0,0.0,0,0.0
00-0028002,2023,5,REG,,0,0,0.0,0,0.0
00-0028002,2023,6,REG,,0,0,0.0,0,0.0
00-0028002,2023,14,REG,,0,0,0.0,0,0.0
00-0028002,2023,15,REG,,0,0,0.0,0,0.0
00-0028002,2023,18,REG,,0,0,0.0,0,0.0
00-0028118,2023,1,REG,-0.5446569,2,2,6.0,0,0.0
00-0028118,2023,3,REG,-0.651543,0,1,0.0,0,0.0
00-0028118,2023,5,REG,2.440994,9,12,86.0,0,0.0
00-0028118,2023,6,REG,-2.130479,24,36,200.0,0,0.0
00-0028118,2023,7,REG,4.9307346,18,29,279.0,2,0.0
00-0028118,2023,8,REG,-10.349501,4,7,8.0,0,0.0
00-0028118,2023,15,REG,0.40001196,2,4,13.0,0,0.0
00-0028118,2023,16,REG,0.5316355,7,16,133.0,1,1.0
00-0028118,2023,17,REG,-2.0617292,27,41,319.0,1,1.0
00-0028118,2023,18,REG,9.550549,23,32,297.0,1,1.0
00-0028872,2023,6,REG,-1.9410884,1,1,7.0,0,0.0
00-0028872,2023,14,REG,,0,0,0.0,0,0.0
00-0028986,2023,15,REG,-2.5340545,23,36,229.0,1,1.0
00-0028986,2023,16,REG,-18.117275,11,17,62.0,0,2.0
00-0029239,2023,15,REG,,0,0,0.0,0,0.0
00-0029239,2023,16,REG,,0,0,0.0,0,0.0
00-0029239,2023,17,REG,,0,0,0.0,0,0.0
00-0029263,2023,1,REG,2.3555384,27,34,177.0,2,0.0
00-0029263,2023,2,REG,3.3465052,18,32,308.0,3,1.0
00-0029263,2023,3,REG,2.2087188,23,38,306.0,1,1.0
00-0029263,2023,4,REG,14.218062,21,28,223.0,3,0.0
00-0029263,2023,5,REG,-10.412276,20,31,196.0,2,0.0
00-0029263,2023,6,REG,-18.298592,13,22,95.0,1,2.0
00-0029263,2023,7,REG,4.0957136,20,29,194.0,1,0.0
00-0029263,2023,8,REG,-4.8447876,12,19,114.0,3,0.0
00-0029263,2023,10,REG,5.7580633,24,29,193.0,2,0.0
00-0029263,2023,11,REG,1.4860983,27,35,259.0,1,0.0
00-0029263,2023,12,REG,4.4542413,13,22,134.0,1,0.0
00-0029263,2023,13,REG,-14.968119,15,26,186.0,1,3.0
00-0029263,2023,14,REG,-2.2156205,21,33,224.0,2,1.0
00-0029263,2023,15,REG,-2.3929815,18,32,223.0,1,0.0
00-0029263,2023,16,REG,-1.1267622,25,37,238.0,2,0.0
00-0029293,2023,1,REG,,0,0,0.0,0,0.0
00-0029293,2023,4,REG,,0,0,0.0,0,0.0
00-0029293,2023,5,REG,,0,0,0.0,0,0.0
00-0029293,2023,6,REG,,0,0,0.0,0,0.0
00-0029604,2023,1,REG,0.3236898,33,44,344.0,2,1.0
00-0029604,2023,2,REG,17.481337,31,44,364.0,4,0.0
00-0029604,2023,3,REG,1.4202403,32,50,367.0,3,1.0
00-0029604,2023,4,REG,-10.878063,12,19,139.0,2,2.0
00-0029604,2023,5,REG,2.568146,29,47,284.0,2,0.0
00-0029604,2023,6,REG,-6.1696563,21,31,181.0,1,0.0
00-0029604,2023,7,REG,12.857419,35,45,378.0,2,1.0
00-0029604,2023,8,REG,19.499933,23,31,274.0,2,0.0
00-0029692,2023,4,REG,,0,0,0.0,0,0.0
00-0029701,2023,1,REG,-12.042962,16,34,198.0,0,3.0
00-0029701,2023,2,REG,1.4567641,20,24,246.0,1,0.0
00-0029701,2023,3,REG,-14.025612,13,25,104.0,0,0.0
00-0029701,2023,4,REG,7.165728,18,25,240.0,1,1.0
00-0029701,2023,5,REG,9.329528,23,34,264.0,0,1.0
00-0029701,2023,6,REG,-10.508054,8,16,76.0,0,1.0
00-0029701,2023,16,REG,-2.6874158,18,26,152.0,0,0.0
00-0029701,2023,17,REG,-2.435569,16,20,168.0,0,0.0
00-0029701,2023,18,REG,0.88122463,17,26,168.0,2,1.0
00-0029764,2023,16,REG,,0,0,0.0,0,0.0
00-0029892,2023,3,REG,,0,0,0.0,0,0.0
00-0029892,2023,4,REG,,0,0,0.0,0,0.0
00-0029892,2023,5,REG,,0,0,0.0,0,0.0
00-0029892,2023,6,REG,,0,0,0.0,0,0.0
00-0029892,2023,8,REG,,0,0,0.0,0,0.0
00-0029892,2023,10,REG,,0,0,0.0,0,0.0
00-0029892,2023,12,REG,,0,0,0.0,0,0.0
00-0029892,2023,15,REG,,0,0,0.0,0,0.0
00-0029892,2023,16,REG,,0,0,0.0,0,0.0
00-0029892,2023,17,REG,,0,0,0.0,0,0.0
00-0030035,2023,1,REG,,0,0,0.0,0,0.0
00-0030035,2023,2,REG,,0,0,0.0,0,0.0
00-0030035,2023,3,REG,,0,0,0.0,0,0.0
00-0030035,2023,4,REG,,0,0,0.0,0,0.0
00-0030035,2023,5,REG,,0,0,0.0,0,0.0
00-0030035,2023,6,REG,,0,0,0.0,0,0.0
00-0030035,2023,8,REG,,0,0,0.0,0,0.0
00-0030035,2023,9,REG,,0,0,0.0,0,0.0
00-0030035,2023,10,REG,,0,0,0.0,0,0.0
00-0030035,2023,11,REG,,0,0,0.0,0,0.0
00-0030035,2023,12,REG,,0,0,0.0,0,0.0
00-0030035,2023,13,REG,,0,0,0.0,0,0.0
00-0030035,2023,14,REG,,0,0,0.0,0,0.0
00-0030035,2023,15,REG,,0,0,0.0,0,0.0
00-0030035,2023,16,REG,,0,0,0.0,0,0.0
